algorithm,strat,bench,region,num_threads,size,obs,min,mean,max,stddev,ci,speedup
4. OpenMP,omp,1,elephant,1,16,10,0.0028564397800000005,0.0031492594800000004,0.0035999547800000006,0.00026096832619221564,0.0001617498443541189,1.0012606646182105
4. OpenMP,omp,1,elephant,1,32,10,0.003904213780000001,0.004183908880000001,0.00519508978,0.0003795439666700756,0.0002352437877430845,0.9085776839384704
4. OpenMP,omp,1,elephant,1,64,10,0.007264473780000001,0.008889010780000003,0.010857049780000001,0.00114106937612302,0.0007072421265759549,0.8762343451674832
4. OpenMP,omp,1,elephant,1,128,10,0.021544645780000003,0.022037177280000004,0.02302130578,0.00045077899357205307,0.00027939571484503336,0.9061768976248848
4. OpenMP,omp,1,elephant,1,256,10,0.07547471778,0.07678279138000002,0.07826445678,0.0007065341784221842,0.000437914420719699,0.9580567639946616
4. OpenMP,omp,1,elephant,1,512,10,0.26563797478,0.27228393928,0.27919433178,0.0048443556781870055,0.0030025627568519586,1.0345392309398354
4. OpenMP,omp,1,elephant,1,1024,10,1.05545800678,1.0635996581799998,1.07108068878,0.004936205404551496,0.00305949180705586,1.0126639416028476
4. OpenMP,omp,1,elephant,1,2048,10,4.19190430478,4.21038233818,4.24964427878,0.01633336864778972,0.010123526770879207,1.0171353865433483
4. OpenMP,omp,1,elephant,1,4096,10,16.77529004578,16.836481725479995,17.04199017678,0.08309250426613182,0.05150126771377394,0.9938893618323894
4. OpenMP,omp,1,elephant,1,8192,10,67.06036645178,67.12401908078,67.24421523177999,0.0489485308538542,0.03033861374097233,0.994227963947246
4. OpenMP,omp,1,elephant,2,16,10,0.002800884780000001,0.003137887580000001,0.0038268387800000007,0.00034272648159941064,0.00021242407407674537,1.0048892956196982
4. OpenMP,omp,1,elephant,2,32,10,0.0032436547800000002,0.0037077959800000003,0.0043234527800000006,0.0003343070114563027,0.0002072056324173204,1.0252468745596948
4. OpenMP,omp,1,elephant,2,64,10,0.005071003780000001,0.005372342680000001,0.005809578780000001,0.00025900576346030553,0.0001605334353704944,1.449806351518887
4. OpenMP,omp,1,elephant,2,128,10,0.01332491178,0.013421583280000001,0.01354260078,6.52155854399681e-05,4.042103863059621e-05,1.4878707320437683
4. OpenMP,omp,1,elephant,2,256,10,0.042565216780000005,0.04284073448000001,0.04354235178,0.0003021343937838287,0.00018726483739089903,1.717110444834745
4. OpenMP,omp,1,elephant,2,512,10,0.15401958778000002,0.15457324898,0.15544528078,0.0005172560493193945,0.00032059862087253617,1.8223620128244007
4. OpenMP,omp,1,elephant,2,1024,10,0.60545174678,0.61956720518,0.6283467127800001,0.01020466929349211,0.006324919556298402,1.7384216161458772
4. OpenMP,omp,1,elephant,2,2048,10,2.15760972478,2.17775376618,2.1956408067799997,0.013984603717201814,0.008667747184558134,1.966489018890317
4. OpenMP,omp,1,elephant,2,4096,10,8.69076298178,8.80468272228,8.95282782978,0.09294329396701882,0.057606850426175756,1.9005341368288144
4. OpenMP,omp,1,elephant,2,8192,10,35.05689964078,35.18672192578,35.39121270478,0.09487536446299635,0.05880436012616659,1.8966409250457794
4. OpenMP,omp,1,elephant,4,16,10,0.0027454987800000006,0.00317390148,0.0033904817800000007,0.00019144626164891408,0.00011865962232168182,0.9934869307915634
4. OpenMP,omp,1,elephant,4,32,10,0.0032510087800000005,0.00347401358,0.0038728937800000004,0.00022161547624848857,0.0001373586952588816,1.0942404663829783
4. OpenMP,omp,1,elephant,4,64,10,0.0043498747800000005,0.004534734080000001,0.005051095780000001,0.00023109392426459664,0.00014323349820410516,1.717599401109756
4. OpenMP,omp,1,elephant,4,128,10,0.009605974780000002,0.009988507980000002,0.010451419780000002,0.0002857339147170162,0.00017709971515136711,1.9992556425829675
4. OpenMP,omp,1,elephant,4,256,10,0.029392870780000004,0.030095851880000003,0.03088213578,0.0004806494591118806,0.0002979096211966169,2.444266171076065
4. OpenMP,omp,1,elephant,4,512,10,0.10300827478,0.10607456648000002,0.11183000278,0.0025823244628460458,0.0016005412841922147,2.6555698174181215
4. OpenMP,omp,1,elephant,4,1024,10,0.39932855078,0.40433788018000005,0.41467047278,0.004920355940559817,0.0030496682074981803,2.6637846091999062
4. OpenMP,omp,1,elephant,4,2048,10,1.39826569378,1.42127263618,1.45711610378,0.017405445604519537,0.010788006952887815,3.0131649326270646
4. OpenMP,omp,1,elephant,4,4096,10,5.74324570078,5.94528202418,6.43929969978,0.2751247523005038,0.17052408816001144,2.8146015629843855
