Padding[bytes],Offset[bytes],Size[bytes],Time[ms],Stddev[%]
0,8,16,16.9,30%
1,16,24,11.7,5%
2,16,24,10.8,21%
3,16,24,11.1,17%
4,16,24,11.4,5%
5,16,24,10.6,21%
6,16,24,11.4,6%
7,16,24,10.7,22%
8,16,24,11.1,8%
9,24,32,19.0,19%
10,24,32,18.5,23%
11,24,32,19.5,18%
12,24,32,19.8,22%
13,24,32,17.7,25%
14,24,32,18.7,30%
15,24,32,18.9,22%
16,24,32,18.6,29%
17,32,40,11.2,14%
18,32,40,20.2,27%
19,32,40,18.9,19%
20,32,40,16.5,38%
21,32,40,11.0,20%
22,32,40,19.4,21%
23,32,40,16.9,20%
24,32,40,11.6,7%
25,40,48,16.0,40%
26,40,48,19.5,24%
27,40,48,14.1,35%
28,40,48,10.7,22%
29,40,48,17.1,25%
30,40,48,10.7,21%
31,40,48,19.3,19%
32,40,48,11.2,13%
33,48,56,17.2,22%
34,48,56,18.8,18%
35,48,56,18.1,22%
36,48,56,18.4,28%
37,48,56,18.3,20%
38,48,56,17.8,26%
39,48,56,18.9,28%
40,48,56,18.3,28%
41,56,64,18.3,25%
42,56,64,18.9,17%
43,56,64,17.0,23%
44,56,64,19.8,22%
45,56,64,16.5,20%
46,56,64,19.8,22%
47,56,64,18.4,24%
48,56,64,21.0,10%
49,64,72,11.0,15%
50,64,72,11.4,8%
51,64,72,10.7,20%
52,64,72,11.3,11%
53,64,72,11.4,6%
54,64,72,11.4,12%
55,64,72,11.0,20%
56,64,72,11.4,6%
57,72,80,10.5,19%
58,72,80,11.7,6%
59,72,80,10.7,21%
60,72,80,11.5,9%
61,72,80,10.5,20%
62,72,80,11.5,5%
63,72,80,11.4,10%
64,72,80,11.3,12%
65,80,88,12.4,30%
66,80,88,10.5,18%
67,80,88,11.1,17%
68,80,88,11.6,10%
69,80,88,11.6,5%
70,80,88,10.6,21%
71,80,88,10.5,22%
72,80,88,11.2,18%
73,88,96,11.0,10%
74,88,96,11.6,5%
75,88,96,11.5,6%
76,88,96,11.9,29%
77,88,96,10.9,23%
78,88,96,10.4,28%
79,88,96,10.5,19%
80,88,96,10.0,26%
81,96,104,11.5,3%
82,96,104,10.4,19%
83,96,104,11.4,5%
84,96,104,11.4,6%
85,96,104,10.4,19%
86,96,104,10.3,20%
87,96,104,11.2,14%
88,96,104,10.4,21%
89,104,112,11.5,5%
90,104,112,11.7,6%
91,104,112,10.8,23%
92,104,112,10.4,20%
93,104,112,10.8,22%
94,104,112,10.3,21%
95,104,112,10.5,20%
96,104,112,11.2,10%
97,112,120,13.5,25%
98,112,120,12.5,20%
99,112,120,12.8,28%
100,112,120,12.7,22%
101,112,120,14.0,10%
102,112,120,13.0,27%
103,112,120,12.5,20%
104,112,120,11.8,25%
105,120,128,12.0,22%
106,120,128,12.1,22%
107,120,128,11.9,24%
108,120,128,12.2,24%
109,120,128,11.9,24%
110,120,128,12.2,21%
111,120,128,12.2,23%
112,120,128,13.1,22%
113,128,136,10.4,26%
114,128,136,11.4,12%
115,128,136,11.3,9%
116,128,136,10.4,22%
117,128,136,11.1,12%
118,128,136,10.6,24%
119,128,136,11.1,10%
120,128,136,10.7,22%
121,136,144,10.6,33%
122,136,144,11.5,6%
123,136,144,10.5,24%
124,136,144,11.4,8%
125,136,144,11.2,17%
126,136,144,10.6,25%
127,136,144,11.2,6%
128,136,144,11.5,7%
129,144,152,10.6,22%
130,144,152,11.3,6%
131,144,152,10.2,22%
132,144,152,10.5,25%
133,144,152,11.1,14%
134,144,152,10.3,33%
135,144,152,10.7,25%
136,144,152,11.3,10%
137,152,160,10.5,28%
