algorithm[int],N[int],time[s],result_check[bool]
0,256,0.026213,1
1,256,0.009848,1
2,256,0.008862,1
0,256,0.024759,1
1,256,0.009549,1
2,256,0.008844,1
0,256,0.025505,1
1,256,0.010918,1
2,256,0.008926,1
0,256,0.023656,1
1,256,0.010001,1
2,256,0.008670,1
0,256,0.024446,1
1,256,0.009258,1
2,256,0.008836,1
0,256,0.024380,1
1,256,0.009936,1
2,256,0.009129,1
0,256,0.025048,1
1,256,0.009714,1
2,256,0.008752,1
0,256,0.024158,1
1,256,0.009846,1
2,256,0.009879,1
0,256,0.025176,1
1,256,0.010981,1
2,256,0.009135,1
0,256,0.023989,1
1,256,0.010596,1
2,256,0.008819,1
0,512,0.200689,1
1,512,0.076361,1
2,512,0.070306,1
0,512,0.199967,1
1,512,0.077960,1
2,512,0.075434,1
0,512,0.202475,1
1,512,0.078127,1
2,512,0.071018,1
0,512,0.200378,1
1,512,0.081649,1
2,512,0.067838,1
0,512,0.194918,1
1,512,0.079906,1
2,512,0.069287,1
0,512,0.198569,1
1,512,0.078411,1
2,512,0.070963,1
0,512,0.199312,1
1,512,0.076220,1
2,512,0.067893,1
0,512,0.195426,1
1,512,0.080402,1
2,512,0.070462,1
0,512,0.195661,1
1,512,0.077779,1
2,512,0.070117,1
0,512,0.196569,1
1,512,0.081047,1
2,512,0.068557,1
0,1024,6.921934,1
1,1024,0.668444,1
2,1024,0.563799,1
0,1024,6.946495,1
1,1024,0.697131,1
2,1024,0.589270,1
0,1024,6.921330,1
1,1024,0.705293,1
2,1024,0.598142,1
0,1024,6.874982,1
1,1024,0.709646,1
2,1024,0.606485,1
0,1024,6.904876,1
1,1024,0.721887,1
2,1024,0.597239,1
0,1024,6.905348,1
1,1024,0.744305,1
2,1024,0.610328,1
0,1024,6.926394,1
1,1024,0.722422,1
2,1024,0.612809,1
0,1024,6.885138,1
1,1024,0.684929,1
2,1024,0.583982,1
0,1024,6.847586,1
1,1024,0.731614,1
2,1024,0.595714,1
0,1024,6.925246,1
1,1024,0.681669,1
2,1024,0.577799,1
0,2048,65.113836,1
1,2048,5.723472,1
2,2048,4.717428,1
0,2048,64.951399,1
1,2048,5.578783,1
2,2048,4.624048,1
0,2048,65.058828,1
1,2048,5.685124,1
2,2048,4.511777,1
0,2048,64.984095,1
1,2048,5.589959,1
2,2048,4.511740,1
0,2048,64.901867,1
1,2048,5.532759,1
2,2048,4.598020,1
0,2048,65.038029,1
1,2048,5.702247,1
2,2048,4.630678,1
0,2048,65.033079,1
1,2048,5.659684,1
2,2048,4.620718,1
0,2048,65.153994,1
1,2048,5.699878,1
2,2048,4.669515,1
0,2048,64.999629,1
1,2048,5.621102,1
2,2048,4.644851,1
0,2048,65.004538,1
1,2048,5.720405,1
2,2048,4.681512,1
